game,publisher,publisher2,genre,genre2,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
.hack//G.U. Vol.1//Rebirth,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2006,2006,T,T,1,1,NA,NA,69,Yes,NA,NA,0.17,NA,0.17
.hack//G.U. Vol.2//Reminisce,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2006,2006,T,T,1,1,NA,NA,61,Yes,0.11,0.09,0.16,0.03,0.39
.hack//G.U. Vol.3//Redemption,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2007,2007,T,T,1,1,NA,NA,60,Yes,NA,NA,0.17,NA,0.17
.hack//Infection Part 1,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2002,2002,T,T,1,1,NA,NA,75,Yes,0.49,0.38,0.26,0.13,1.27
.hack//Mutation Part 2,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2002,2002,T,T,1,1,NA,NA,76,Yes,0.23,0.18,0.2,0.06,0.68
.hack//Outbreak Part 3,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2002,2002,T,T,1,1,NA,NA,70,Yes,0.14,0.11,0.17,0.04,0.46
.hack//Quarantine Part 4: The Final Chapter,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2003,2003,T,T,1,1,NA,NA,70,Yes,0.09,0.07,NA,0.02,0.18
007: Quantum of Solace,Activision,Activision,ActionAdventure,ActionAdventure,2008,2008,T,T,1,1,NA,NA,NA,Yes,0.17,NA,NA,0.26,0.43
10.000 Bullets,505 Games,505 Games,ActionAdventure,ActionAdventure,2005,2005,M,M,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
12Riven: The Psi-Climinal of Integral,CyberFront,Other,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.04,NA,0.04
18 Wheeler: American Pro Trucker,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2001,2001,E,E,2,2,NA,NA,61,No,0.2,0.15,NA,0.05,0.4
187: Ride or Die,Ubisoft,Ubisoft,Racing,Racing,2005,2005,M,M,2,2,8,8,52,No,0.07,0.06,NA,0.02,0.15
